PassengerId,Cabin,Ticket,Number,Survived
1,G6,STON/O2. 3101282,5,0
2,D56,STON/O2. 3101282,A,1
3,F33,347082,3,0
4,G6,STON/O2. 3101282,B,1
5,B22,STON/O2. 3101282,A,0
6,T,347082,5,1
7,F33,347082,B,0
8,F33,PC 17599,5,1
9,G6,113803,5,1
10,E45,113803,3,1
11,B22,STON/O2. 3101282,B,1
12,G6,113803,B,1
13,B22,STON/O2. 3101282,3,0
14,B22,PC 17599,A,0
15,T,347082,5,0
16,F33,347082,C,1
17,D56,347082,5,0
18,T,113803,5,1
19,T,PC 17599,A,1
20,B22,113803,5,0
21,A10,113803,3,0
22,F33,PC 17599,3,1
23,E45,PC 17599,B,0
24,T,PC 17599,C,1
25,D56,PC 17599,5,1
26,A10,347082,5,1
27,A10,A/5 21171,A,1
28,E45,A/5 21171,3,1
29,T,PC 17599,C,0
30,D56,A/5 21171,B,0
31,F33,A/5 21171,3,1
32,C123,PC 17599,B,1
33,D56,A/5 21171,A,0
34,E45,113803,A,0
35,A10,STON/O2. 3101282,5,1
36,F33,STON/O2. 3101282,C,0
37,D56,PC 17599,B,1
38,C123,347082,3,0
39,C123,PC 17599,A,1
40,B22,347082,5,0
41,B22,STON/O2. 3101282,5,1
42,G6,PC 17599,B,0
43,E45,113803,A,0
44,T,A/5 21171,C,1
45,D56,347082,A,0
46,D56,A/5 21171,B,1
47,T,A/5 21171,B,0
48,G6,PC 17599,A,1
49,A10,A/5 21171,B,0
50,A10,113803,A,1
51,G6,A/5 21171,3,0
52,A10,PC 17599,A,1
53,B22,113803,A,0
54,D56,STON/O2. 3101282,B,1
55,G6,A/5 21171,B,1
56,D56,PC 17599,5,1
57,T,STON/O2. 3101282,5,0
58,C123,STON/O2. 3101282,3,1
59,B22,347082,5,0
60,F33,113803,A,1
61,B22,A/5 21171,B,0
62,G6,PC 17599,5,1
63,F33,347082,5,0
64,C123,113803,3,0
65,G6,347082,3,1
66,E45,113803,A,0
67,D56,113803,B,0
68,C123,A/5 21171,3,1
69,D56,113803,5,0
70,A10,347082,B,0
71,E45,113803,B,0
72,E45,A/5 21171,5,1
73,C123,A/5 21171,3,0
74,E45,347082,5,1
75,F33,STON/O2. 3101282,B,0
76,E45,STON/O2. 3101282,C,0
77,D56,113803,C,0
78,D56,PC 17599,A,1
79,G6,113803,5,0
80,D56,347082,5,0
81,G6,347082,A,1
82,D56,347082,A,0
83,F33,347082,A,1
84,T,347082,B,1
85,G6,A/5 21171,5,0
86,B22,STON/O2. 3101282,B,1
87,A10,347082,A,0
88,C123,PC 17599,5,1
89,D56,PC 17599,B,1
90,E45,PC 17599,B,0
91,T,PC 17599,A,1
92,D56,A/5 21171,5,1
93,E45,PC 17599,A,1
94,A10,347082,5,1
95,A10,113803,C,1
96,A10,PC 17599,3,0
97,E45,A/5 21171,3,1
98,D56,A/5 21171,3,0
99,A10,PC 17599,A,1
100,F33,113803,C,0
